,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
626,KKR,Kings XI,KKR,8 wickets,Eden Gardens,"Apr 13, 2017",Twenty20
627,MI,SRH,MI,4 wickets,Wankhede,"Apr 12, 2017",Twenty20
628,Supergiant,Daredevils,Daredevils,97 runs,Pune,"Apr 11, 2017",Twenty20
629,Kings XI,RCB,Kings XI,8 wickets,Indore,"Apr 10, 2017",Twenty20
630,MI,KKR,MI,4 wickets,Wankhede,"Apr 9, 2017",Twenty20
631,SRH,Guj Lions,SRH,9 wickets,Hyderabad,"Apr 9, 2017",Twenty20
632,RCB,Daredevils,RCB,15 runs,Bengaluru,"Apr 8, 2017",Twenty20
633,Kings XI,Supergiant,Kings XI,6 wickets,Indore,"Apr 8, 2017",Twenty20
634,Guj Lions,KKR,KKR,10 wickets,Rajkot,"Apr 7, 2017",Twenty20
635,Supergiant,MI,Supergiant,7 wickets,Pune,"Apr 6, 2017",Twenty20
636,SRH,RCB,SRH,35 runs,Hyderabad,"Apr 5, 2017",Twenty20
637,CSK,SRH,CSK,8 wickets,Wankhede,"May 27, 2018",Twenty20
638,KKR,SRH,SRH,14 runs,Eden Gardens,"May 25, 2018",Twenty20
639,KKR,RR,KKR,25 runs,Eden Gardens,"May 23, 2018",Twenty20
640,CSK,SRH,CSK,2 wickets,Wankhede,"May 22, 2018",Twenty20
641,CSK,Kings XI,CSK,5 wickets,Pune,"May 20, 2018",Twenty20
642,Daredevils,MI,Daredevils,11 runs,Delhi,"May 20, 2018",Twenty20
643,SRH,KKR,KKR,5 wickets,Hyderabad,"May 19, 2018",Twenty20
644,RR,RCB,RR,30 runs,Jaipur,"May 19, 2018",Twenty20
645,Daredevils,CSK,Daredevils,34 runs,Delhi,"May 18, 2018",Twenty20
646,RCB,SRH,RCB,14 runs,Bengaluru,"May 17, 2018",Twenty20
647,MI,Kings XI,MI,3 runs,Wankhede,"May 16, 2018",Twenty20
648,KKR,RR,KKR,6 wickets,Eden Gardens,"May 15, 2018",Twenty20
649,Kings XI,RCB,RCB,10 wickets,Indore,"May 14, 2018",Twenty20
650,MI,RR,RR,7 wickets,Wankhede,"May 13, 2018",Twenty20
651,CSK,SRH,CSK,8 wickets,Pune,"May 13, 2018",Twenty20
652,Daredevils,RCB,RCB,5 wickets,Delhi,"May 12, 2018",Twenty20
653,Kings XI,KKR,KKR,31 runs,Indore,"May 12, 2018",Twenty20
654,RR,CSK,RR,4 wickets,Jaipur,"May 11, 2018",Twenty20
655,Daredevils,SRH,SRH,9 wickets,Delhi,"May 10, 2018",Twenty20
656,KKR,MI,MI,102 runs,Eden Gardens,"May 9, 2018",Twenty20
657,RR,Kings XI,RR,15 runs,Jaipur,"May 8, 2018",Twenty20
658,SRH,RCB,SRH,5 runs,Hyderabad,"May 7, 2018",Twenty20
659,Kings XI,RR,Kings XI,6 wickets,Indore,"May 6, 2018",Twenty20
660,MI,KKR,MI,13 runs,Wankhede,"May 6, 2018",Twenty20
661,SRH,Daredevils,SRH,7 wickets,Hyderabad,"May 5, 2018",Twenty20
662,CSK,RCB,CSK,6 wickets,Pune,"May 5, 2018",Twenty20
663,Kings XI,MI,MI,6 wickets,Indore,"May 4, 2018",Twenty20
664,KKR,CSK,KKR,6 wickets,Eden Gardens,"May 3, 2018",Twenty20
665,Daredevils,RR,Daredevils,4 runs,Delhi,"May 2, 2018",Twenty20
666,RCB,MI,RCB,14 runs,Bengaluru,"May 1, 2018",Twenty20
667,CSK,Daredevils,CSK,13 runs,Pune,"Apr 30, 2018",Twenty20
668,RCB,KKR,KKR,6 wickets,Bengaluru,"Apr 29, 2018",Twenty20
669,RR,SRH,SRH,11 runs,Jaipur,"Apr 29, 2018",Twenty20
670,CSK,MI,MI,8 wickets,Pune,"Apr 28, 2018",Twenty20
671,Daredevils,KKR,Daredevils,55 runs,Delhi,"Apr 27, 2018",Twenty20
672,SRH,Kings XI,SRH,13 runs,Hyderabad,"Apr 26, 2018",Twenty20
673,RCB,CSK,CSK,5 wickets,Bengaluru,"Apr 25, 2018",Twenty20
674,MI,SRH,SRH,31 runs,Wankhede,"Apr 24, 2018",Twenty20
675,Daredevils,Kings XI,Kings XI,4 runs,Delhi,"Apr 23, 2018",Twenty20
676,RR,MI,RR,3 wickets,Jaipur,"Apr 22, 2018",Twenty20
677,SRH,CSK,CSK,4 runs,Hyderabad,"Apr 22, 2018",Twenty20
678,RCB,Daredevils,RCB,6 wickets,Bengaluru,"Apr 21, 2018",Twenty20
679,KKR,Kings XI,Kings XI,9 wickets,Eden Gardens,"Apr 21, 2018",Twenty20
680,CSK,RR,CSK,64 runs,Pune,"Apr 20, 2018",Twenty20
681,Kings XI,SRH,Kings XI,15 runs,Mohali,"Apr 19, 2018",Twenty20
682,RR,KKR,KKR,7 wickets,Jaipur,"Apr 18, 2018",Twenty20
683,MI,RCB,MI,46 runs,Wankhede,"Apr 17, 2018",Twenty20
684,KKR,Daredevils,KKR,71 runs,Eden Gardens,"Apr 16, 2018",Twenty20
685,Kings XI,CSK,Kings XI,4 runs,Mohali,"Apr 15, 2018",Twenty20
686,RCB,RR,RR,19 runs,Bengaluru,"Apr 15, 2018",Twenty20
687,KKR,SRH,SRH,5 wickets,Eden Gardens,"Apr 14, 2018",Twenty20
688,MI,Daredevils,Daredevils,7 wickets,Wankhede,"Apr 14, 2018",Twenty20
689,RCB,Kings XI,RCB,4 wickets,Bengaluru,"Apr 13, 2018",Twenty20
690,SRH,MI,SRH,1 wicket,Hyderabad,"Apr 12, 2018",Twenty20
691,RR,Daredevils,RR,10 runs,Jaipur,"Apr 11, 2018",Twenty20
692,CSK,KKR,CSK,5 wickets,Chennai,"Apr 10, 2018",Twenty20
693,SRH,RR,SRH,9 wickets,Hyderabad,"Apr 9, 2018",Twenty20
694,KKR,RCB,KKR,4 wickets,Eden Gardens,"Apr 8, 2018",Twenty20
695,Kings XI,Daredevils,Kings XI,6 wickets,Mohali,"Apr 8, 2018",Twenty20
696,MI,CSK,CSK,1 wicket,Wankhede,"Apr 7, 2018",Twenty20
697,CSK,MI,MI,1 run,Hyderabad,"May 12, 2019",Twenty20
698,CSK,DC,CSK,6 wickets,Visakhapatnam,"May 10, 2019",Twenty20
699,SRH,DC,DC,2 wickets,Visakhapatnam,"May 8, 2019",Twenty20
700,CSK,MI,MI,6 wickets,Chennai,"May 7, 2019",Twenty20
701,MI,KKR,MI,9 wickets,Wankhede,"May 5, 2019",Twenty20
702,Kings XI,CSK,Kings XI,6 wickets,Mohali,"May 5, 2019",Twenty20
703,RCB,SRH,RCB,4 wickets,Bengaluru,"May 4, 2019",Twenty20
704,DC,RR,DC,5 wickets,Delhi,"May 4, 2019",Twenty20
705,Kings XI,KKR,KKR,7 wickets,Mohali,"May 3, 2019",Twenty20
706,MI,SRH,tied,-,Wankhede,"May 2, 2019",Twenty20
707,CSK,DC,CSK,80 runs,Chennai,"May 1, 2019",Twenty20
708,RCB,RR,no result,-,Bengaluru,"Apr 30, 2019",Twenty20
709,SRH,Kings XI,SRH,45 runs,Hyderabad,"Apr 29, 2019",Twenty20
710,KKR,MI,KKR,34 runs,Eden Gardens,"Apr 28, 2019",Twenty20
711,DC,RCB,DC,16 runs,Delhi,"Apr 28, 2019",Twenty20
712,RR,SRH,RR,7 wickets,Jaipur,"Apr 27, 2019",Twenty20
713,CSK,MI,MI,46 runs,Chennai,"Apr 26, 2019",Twenty20
714,KKR,RR,RR,3 wickets,Eden Gardens,"Apr 25, 2019",Twenty20
715,RCB,Kings XI,RCB,17 runs,Bengaluru,"Apr 24, 2019",Twenty20
716,CSK,SRH,CSK,6 wickets,Chennai,"Apr 23, 2019",Twenty20
717,RR,DC,DC,6 wickets,Jaipur,"Apr 22, 2019",Twenty20
718,RCB,CSK,RCB,1 run,Bengaluru,"Apr 21, 2019",Twenty20
719,SRH,KKR,SRH,9 wickets,Hyderabad,"Apr 21, 2019",Twenty20
720,DC,Kings XI,DC,5 wickets,Delhi,"Apr 20, 2019",Twenty20
721,RR,MI,RR,5 wickets,Jaipur,"Apr 20, 2019",Twenty20
722,KKR,RCB,RCB,10 runs,Eden Gardens,"Apr 19, 2019",Twenty20
723,DC,MI,MI,40 runs,Delhi,"Apr 18, 2019",Twenty20
724,SRH,CSK,SRH,6 wickets,Hyderabad,"Apr 17, 2019",Twenty20
725,Kings XI,RR,Kings XI,12 runs,Mohali,"Apr 16, 2019",Twenty20
726,MI,RCB,MI,5 wickets,Wankhede,"Apr 15, 2019",Twenty20
727,SRH,DC,DC,39 runs,Hyderabad,"Apr 14, 2019",Twenty20
728,KKR,CSK,CSK,5 wickets,Eden Gardens,"Apr 14, 2019",Twenty20
729,Kings XI,RCB,RCB,8 wickets,Mohali,"Apr 13, 2019",Twenty20
730,MI,RR,RR,4 wickets,Wankhede,"Apr 13, 2019",Twenty20
731,KKR,DC,DC,7 wickets,Eden Gardens,"Apr 12, 2019",Twenty20
732,RR,CSK,CSK,4 wickets,Jaipur,"Apr 11, 2019",Twenty20
733,MI,Kings XI,MI,3 wickets,Wankhede,"Apr 10, 2019",Twenty20
734,CSK,KKR,CSK,7 wickets,Chennai,"Apr 9, 2019",Twenty20
735,Kings XI,SRH,Kings XI,6 wickets,Mohali,"Apr 8, 2019",Twenty20
736,RR,KKR,KKR,8 wickets,Jaipur,"Apr 7, 2019",Twenty20
737,RCB,DC,DC,4 wickets,Bengaluru,"Apr 7, 2019",Twenty20
738,SRH,MI,MI,40 runs,Hyderabad,"Apr 6, 2019",Twenty20
739,CSK,Kings XI,CSK,22 runs,Chennai,"Apr 6, 2019",Twenty20
740,RCB,KKR,KKR,5 wickets,Bengaluru,"Apr 5, 2019",Twenty20
741,DC,SRH,SRH,5 wickets,Delhi,"Apr 4, 2019",Twenty20
742,MI,CSK,MI,37 runs,Wankhede,"Apr 3, 2019",Twenty20
743,RR,RCB,RR,7 wickets,Jaipur,"Apr 2, 2019",Twenty20
744,Kings XI,DC,Kings XI,14 runs,Mohali,"Apr 1, 2019",Twenty20
745,CSK,RR,CSK,8 runs,Chennai,"Mar 31, 2019",Twenty20
746,SRH,RCB,SRH,118 runs,Hyderabad,"Mar 31, 2019",Twenty20
747,DC,KKR,tied,-,Delhi,"Mar 30, 2019",Twenty20
748,Kings XI,MI,Kings XI,8 wickets,Mohali,"Mar 30, 2019",Twenty20
749,SRH,RR,SRH,5 wickets,Hyderabad,"Mar 29, 2019",Twenty20
750,RCB,MI,MI,6 runs,Bengaluru,"Mar 28, 2019",Twenty20
751,KKR,Kings XI,KKR,28 runs,Eden Gardens,"Mar 27, 2019",Twenty20
