,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,CSK,RR,RR,3 wickets,DY Patil,"Jun 1, 2008",Twenty20
1,CSK,Kings XI,CSK,9 wickets,Wankhede,"May 31, 2008",Twenty20
2,Daredevils,RR,RR,105 runs,Wankhede,"May 30, 2008",Twenty20
3,Kings XI,RR,Kings XI,41 runs,Mohali,"May 28, 2008",Twenty20
4,RCB,MI,MI,9 wickets,Bengaluru,"May 28, 2008",Twenty20
5,Chargers,CSK,CSK,7 wickets,Hyderabad,"May 27, 2008",Twenty20
6,RR,MI,RR,5 wickets,Jaipur,"May 26, 2008",Twenty20
7,KKR,Kings XI,KKR,3 wickets,Eden Gardens,"May 25, 2008",Twenty20
8,Chargers,RCB,RCB,5 wickets,Hyderabad,"May 25, 2008",Twenty20
9,Daredevils,MI,Daredevils,5 wickets,Delhi,"May 24, 2008",Twenty20
10,CSK,RR,RR,10 runs,Chennai,"May 24, 2008",Twenty20
11,Kings XI,Chargers,Kings XI,6 wickets,Mohali,"May 23, 2008",Twenty20
12,CSK,RCB,RCB,14 runs,Chennai,"May 21, 2008",Twenty20
13,MI,Kings XI,Kings XI,1 run,Wankhede,"May 21, 2008",Twenty20
14,KKR,RR,RR,6 wickets,Eden Gardens,"May 20, 2008",Twenty20
15,RCB,Daredevils,Daredevils,5 wickets,Bengaluru,"May 19, 2008",Twenty20
16,Chargers,MI,MI,25 runs,Hyderabad,"May 18, 2008",Twenty20
17,KKR,CSK,CSK,3 runs,Eden Gardens,"May 18, 2008",Twenty20
18,Daredevils,Kings XI,Kings XI,6 runs,Delhi,"May 17, 2008",Twenty20
19,RR,RCB,RR,65 runs,Jaipur,"May 17, 2008",Twenty20
20,MI,KKR,MI,8 wickets,Wankhede,"May 16, 2008",Twenty20
21,Daredevils,Chargers,Daredevils,12 runs,Delhi,"May 15, 2008",Twenty20
22,MI,CSK,MI,9 wickets,Wankhede,"May 14, 2008",Twenty20
23,KKR,Daredevils,KKR,23 runs,Eden Gardens,"May 13, 2008",Twenty20
24,Kings XI,RCB,Kings XI,9 wickets,Mohali,"May 12, 2008",Twenty20
25,RR,Daredevils,RR,3 wickets,Jaipur,"May 11, 2008",Twenty20
26,Chargers,KKR,KKR,23 runs,Hyderabad,"May 11, 2008",Twenty20
27,CSK,Kings XI,CSK,18 runs,Chennai,"May 10, 2008",Twenty20
28,RR,Chargers,RR,8 wickets,Jaipur,"May 9, 2008",Twenty20
29,KKR,RCB,KKR,5 runs,Eden Gardens,"May 8, 2008",Twenty20
30,Daredevils,CSK,CSK,4 wickets,Delhi,"May 8, 2008",Twenty20
31,MI,RR,MI,7 wickets,DY Patil,"May 7, 2008",Twenty20
32,CSK,Chargers,Chargers,7 wickets,Chennai,"May 6, 2008",Twenty20
33,RCB,Kings XI,Kings XI,6 wickets,Bengaluru,"May 5, 2008",Twenty20
34,RR,CSK,RR,8 wickets,Jaipur,"May 4, 2008",Twenty20
35,MI,Daredevils,MI,29 runs,DY Patil,"May 4, 2008",Twenty20
36,Kings XI,KKR,Kings XI,9 runs,Mohali,"May 3, 2008",Twenty20
37,RCB,Chargers,RCB,3 runs,Bengaluru,"May 3, 2008",Twenty20
38,CSK,Daredevils,Daredevils,8 wickets,Chennai,"May 2, 2008",Twenty20
39,Chargers,Kings XI,Kings XI,7 wickets,Hyderabad,"May 1, 2008",Twenty20
40,RR,KKR,RR,45 runs,Jaipur,"May 1, 2008",Twenty20
41,Daredevils,RCB,Daredevils,10 runs,Delhi,"Apr 30, 2008",Twenty20
42,KKR,MI,MI,7 wickets,Eden Gardens,"Apr 29, 2008",Twenty20
43,RCB,CSK,CSK,13 runs,Bengaluru,"Apr 28, 2008",Twenty20
44,MI,Chargers,Chargers,10 wickets,DY Patil,"Apr 27, 2008",Twenty20
45,Kings XI,Daredevils,Kings XI,4 wickets,Mohali,"Apr 27, 2008",Twenty20
46,RCB,RR,RR,7 wickets,Bengaluru,"Apr 26, 2008",Twenty20
47,CSK,KKR,CSK,9 wickets,Chennai,"Apr 26, 2008",Twenty20
48,Kings XI,MI,Kings XI,66 runs,Mohali,"Apr 25, 2008",Twenty20
49,Chargers,RR,RR,3 wickets,Hyderabad,"Apr 24, 2008",Twenty20
50,CSK,MI,CSK,6 runs,Chennai,"Apr 23, 2008",Twenty20
51,Chargers,Daredevils,Daredevils,9 wickets,Hyderabad,"Apr 22, 2008",Twenty20
52,RR,Kings XI,RR,6 wickets,Jaipur,"Apr 21, 2008",Twenty20
53,MI,RCB,RCB,5 wickets,Wankhede,"Apr 20, 2008",Twenty20
54,KKR,Chargers,KKR,5 wickets,Eden Gardens,"Apr 20, 2008",Twenty20
55,Daredevils,RR,Daredevils,9 wickets,Delhi,"Apr 19, 2008",Twenty20
56,Kings XI,CSK,CSK,33 runs,Mohali,"Apr 19, 2008",Twenty20
57,RCB,KKR,KKR,140 runs,Bengaluru,"Apr 18, 2008",Twenty20
58,Chargers,RCB,Chargers,6 runs,Johannesburg,"May 24, 2009",Twenty20
59,CSK,RCB,RCB,6 wickets,Johannesburg,"May 23, 2009",Twenty20
60,Chargers,Daredevils,Chargers,6 wickets,Centurion,"May 22, 2009",Twenty20
61,RCB,Chargers,RCB,12 runs,Centurion,"May 21, 2009",Twenty20
62,Daredevils,MI,Daredevils,4 wickets,Centurion,"May 21, 2009",Twenty20
63,CSK,Kings XI,CSK,24 runs,Durban,"May 20, 2009",Twenty20
64,KKR,RR,KKR,4 wickets,Durban,"May 20, 2009",Twenty20
65,RCB,Daredevils,RCB,7 wickets,Johannesburg,"May 19, 2009",Twenty20
66,CSK,KKR,KKR,7 wickets,Centurion,"May 18, 2009",Twenty20
67,Daredevils,RR,Daredevils,14 runs,Bloemfontein,"May 17, 2009",Twenty20
68,Chargers,Kings XI,Kings XI,1 run,Johannesburg,"May 17, 2009",Twenty20
69,Chargers,KKR,Chargers,6 wickets,Johannesburg,"May 16, 2009",Twenty20
70,CSK,MI,CSK,7 wickets,Gqeberha,"May 16, 2009",Twenty20
71,Daredevils,Kings XI,Kings XI,6 wickets,Bloemfontein,"May 15, 2009",Twenty20
72,MI,RR,RR,2 runs,Durban,"May 14, 2009",Twenty20
73,RCB,CSK,RCB,2 wickets,Durban,"May 14, 2009",Twenty20
74,Chargers,Daredevils,Daredevils,12 runs,Durban,"May 13, 2009",Twenty20
75,Kings XI,MI,MI,8 wickets,Centurion,"May 12, 2009",Twenty20
76,RCB,KKR,RCB,6 wickets,Centurion,"May 12, 2009",Twenty20
77,Chargers,RR,Chargers,53 runs,Kimberley,"May 11, 2009",Twenty20
78,Daredevils,KKR,Daredevils,7 wickets,Johannesburg,"May 10, 2009",Twenty20
79,RCB,MI,MI,16 runs,Gqeberha,"May 10, 2009",Twenty20
80,CSK,RR,CSK,7 wickets,Kimberley,"May 9, 2009",Twenty20
81,Chargers,Kings XI,Kings XI,3 wickets,Kimberley,"May 9, 2009",Twenty20
82,Daredevils,MI,Daredevils,7 wickets,East London,"May 8, 2009",Twenty20
83,CSK,Kings XI,CSK,12 runs,Centurion,"May 7, 2009",Twenty20
84,RCB,RR,RR,7 wickets,Centurion,"May 7, 2009",Twenty20
85,Chargers,MI,Chargers,19 runs,Centurion,"May 6, 2009",Twenty20
86,Daredevils,KKR,Daredevils,9 wickets,Durban,"May 5, 2009",Twenty20
87,Kings XI,RR,RR,78 runs,Durban,"May 5, 2009",Twenty20
88,CSK,Chargers,CSK,78 runs,East London,"May 4, 2009",Twenty20
89,RCB,MI,RCB,9 wickets,Johannesburg,"May 3, 2009",Twenty20
90,Kings XI,KKR,Kings XI,6 wickets,Gqeberha,"May 3, 2009",Twenty20
91,CSK,Daredevils,CSK,18 runs,Johannesburg,"May 2, 2009",Twenty20
92,Chargers,RR,RR,3 wickets,Gqeberha,"May 2, 2009",Twenty20
93,RCB,Kings XI,RCB,8 runs,Durban,"May 1, 2009",Twenty20
94,KKR,MI,MI,9 runs,East London,"May 1, 2009",Twenty20
95,CSK,RR,CSK,38 runs,Centurion,"Apr 30, 2009",Twenty20
96,Chargers,Daredevils,Daredevils,6 wickets,Centurion,"Apr 30, 2009",Twenty20
97,Kings XI,MI,Kings XI,3 runs,Durban,"Apr 29, 2009",Twenty20
98,RCB,KKR,RCB,5 wickets,Durban,"Apr 29, 2009",Twenty20
99,Daredevils,RR,RR,5 wickets,Centurion,"Apr 28, 2009",Twenty20
100,KKR,MI,MI,92 runs,Gqeberha,"Apr 27, 2009",Twenty20
101,CSK,Chargers,Chargers,6 wickets,Durban,"Apr 27, 2009",Twenty20
102,Kings XI,RR,Kings XI,27 runs,Cape Town,"Apr 26, 2009",Twenty20
103,RCB,Daredevils,Daredevils,6 wickets,Gqeberha,"Apr 26, 2009",Twenty20
104,Chargers,MI,Chargers,12 runs,Durban,"Apr 25, 2009",Twenty20
105,RCB,Kings XI,Kings XI,7 wickets,Durban,"Apr 24, 2009",Twenty20
106,KKR,RR,tied,-,Cape Town,"Apr 23, 2009",Twenty20
107,CSK,Daredevils,Daredevils,9 runs,Durban,"Apr 23, 2009",Twenty20
108,RCB,Chargers,Chargers,24 runs,Cape Town,"Apr 22, 2009",Twenty20
109,Kings XI,KKR,KKR,11 runs,Durban,"Apr 21, 2009",Twenty20
110,RCB,CSK,CSK,92 runs,Gqeberha,"Apr 20, 2009",Twenty20
111,Chargers,KKR,Chargers,8 wickets,Cape Town,"Apr 19, 2009",Twenty20
112,Daredevils,Kings XI,Daredevils,10 wickets,Cape Town,"Apr 19, 2009",Twenty20
113,RCB,RR,RCB,75 runs,Cape Town,"Apr 18, 2009",Twenty20
114,CSK,MI,MI,19 runs,Cape Town,"Apr 18, 2009",Twenty20
115,MI,CSK,CSK,22 runs,DY Patil,"Apr 25, 2010",Twenty20
116,Chargers,RCB,RCB,9 wickets,DY Patil,"Apr 24, 2010",Twenty20
117,CSK,Chargers,CSK,38 runs,DY Patil,"Apr 22, 2010",Twenty20
118,MI,RCB,MI,35 runs,DY Patil,"Apr 21, 2010",Twenty20
119,KKR,MI,KKR,9 wickets,Eden Gardens,"Apr 19, 2010",Twenty20
120,Daredevils,Chargers,Chargers,11 runs,Delhi,"Apr 18, 2010",Twenty20
121,Kings XI,CSK,CSK,6 wickets,Dharamsala,"Apr 18, 2010",Twenty20
122,KKR,RR,KKR,8 wickets,Eden Gardens,"Apr 17, 2010",Twenty20
123,RCB,MI,MI,57 runs,Bengaluru,"Apr 17, 2010",Twenty20
124,Kings XI,Chargers,Chargers,5 wickets,Dharamsala,"Apr 16, 2010",Twenty20
125,CSK,Daredevils,Daredevils,6 wickets,Chennai,"Apr 15, 2010",Twenty20
126,RR,RCB,RCB,5 wickets,Jaipur,"Apr 14, 2010",Twenty20
127,CSK,KKR,CSK,9 wickets,Chennai,"Apr 13, 2010",Twenty20
128,MI,Daredevils,MI,39 runs,Brabourne,"Apr 13, 2010",Twenty20
129,Chargers,RCB,Chargers,13 runs,Nagpur,"Apr 12, 2010",Twenty20
130,RR,MI,MI,37 runs,Jaipur,"Apr 11, 2010",Twenty20
131,Daredevils,Kings XI,Kings XI,7 wickets,Delhi,"Apr 11, 2010",Twenty20
132,RCB,KKR,RCB,7 wickets,Bengaluru,"Apr 10, 2010",Twenty20
133,Chargers,CSK,Chargers,6 wickets,Nagpur,"Apr 10, 2010",Twenty20
134,Kings XI,MI,Kings XI,6 wickets,Mohali,"Apr 9, 2010",Twenty20
135,RCB,Chargers,Chargers,7 wickets,Bengaluru,"Apr 8, 2010",Twenty20
136,KKR,Daredevils,KKR,14 runs,Eden Gardens,"Apr 7, 2010",Twenty20
137,RR,Kings XI,RR,9 wickets,Jaipur,"Apr 7, 2010",Twenty20
138,CSK,MI,CSK,24 runs,Chennai,"Apr 6, 2010",Twenty20
139,Chargers,RR,RR,2 runs,Nagpur,"Apr 5, 2010",Twenty20
140,Daredevils,RCB,Daredevils,37 runs,Delhi,"Apr 4, 2010",Twenty20
141,KKR,Kings XI,Kings XI,8 wickets,Eden Gardens,"Apr 4, 2010",Twenty20
142,MI,Chargers,MI,63 runs,Brabourne,"Apr 3, 2010",Twenty20
143,CSK,RR,CSK,23 runs,Chennai,"Apr 3, 2010",Twenty20
144,Kings XI,RCB,RCB,6 wickets,Mohali,"Apr 2, 2010",Twenty20
145,KKR,Chargers,KKR,24 runs,Eden Gardens,"Apr 1, 2010",Twenty20
146,Daredevils,RR,Daredevils,67 runs,Delhi,"Mar 31, 2010",Twenty20
147,CSK,RCB,CSK,5 wickets,Chennai,"Mar 31, 2010",Twenty20
148,MI,Kings XI,MI,4 wickets,Brabourne,"Mar 30, 2010",Twenty20
149,Daredevils,KKR,Daredevils,40 runs,Delhi,"Mar 29, 2010",Twenty20
150,Chargers,MI,MI,41 runs,DY Patil,"Mar 28, 2010",Twenty20
151,RR,CSK,RR,17 runs,Ahmedabad,"Mar 28, 2010",Twenty20
152,Kings XI,KKR,KKR,39 runs,Mohali,"Mar 27, 2010",Twenty20
153,RR,Chargers,RR,8 wickets,Ahmedabad,"Mar 26, 2010",Twenty20
154,MI,CSK,MI,5 wickets,Brabourne,"Mar 25, 2010",Twenty20
155,RCB,Daredevils,Daredevils,17 runs,Bengaluru,"Mar 25, 2010",Twenty20
156,Kings XI,RR,RR,31 runs,Mohali,"Mar 24, 2010",Twenty20
157,RCB,CSK,RCB,36 runs,Bengaluru,"Mar 23, 2010",Twenty20
158,MI,KKR,MI,7 wickets,Brabourne,"Mar 22, 2010",Twenty20
159,CSK,Kings XI,tied,-,Chennai,"Mar 21, 2010",Twenty20
160,Chargers,Daredevils,Chargers,10 runs,Cuttack,"Mar 21, 2010",Twenty20
161,MI,RCB,RCB,7 wickets,Brabourne,"Mar 20, 2010",Twenty20
162,RR,KKR,RR,34 runs,Ahmedabad,"Mar 20, 2010",Twenty20
163,Chargers,Kings XI,Chargers,6 runs,Cuttack,"Mar 19, 2010",Twenty20
164,Daredevils,CSK,CSK,5 wickets,Delhi,"Mar 19, 2010",Twenty20
165,RCB,RR,RCB,10 wickets,Bengaluru,"Mar 18, 2010",Twenty20
166,Daredevils,MI,MI,98 runs,Delhi,"Mar 17, 2010",Twenty20
167,KKR,CSK,CSK,55 runs,Eden Gardens,"Mar 16, 2010",Twenty20
168,RCB,Kings XI,RCB,8 wickets,Bengaluru,"Mar 16, 2010",Twenty20
169,RR,Daredevils,Daredevils,6 wickets,Ahmedabad,"Mar 15, 2010",Twenty20
170,CSK,Chargers,Chargers,31 runs,Chennai,"Mar 14, 2010",Twenty20
171,KKR,RCB,KKR,7 wickets,Eden Gardens,"Mar 14, 2010",Twenty20
172,Kings XI,Daredevils,Daredevils,5 wickets,Mohali,"Mar 13, 2010",Twenty20
173,MI,RR,MI,4 runs,Brabourne,"Mar 13, 2010",Twenty20
174,Chargers,KKR,KKR,11 runs,DY Patil,"Mar 12, 2010",Twenty20
175,CSK,RCB,CSK,58 runs,Chennai,"May 28, 2011",Twenty20
176,MI,RCB,RCB,43 runs,Chennai,"May 27, 2011",Twenty20
177,MI,KKR,MI,4 wickets,Wankhede,"May 25, 2011",Twenty20
178,CSK,RCB,CSK,6 wickets,Wankhede,"May 24, 2011",Twenty20
179,KKR,MI,MI,5 wickets,Eden Gardens,"May 22, 2011",Twenty20
180,RCB,CSK,RCB,8 wickets,Bengaluru,"May 22, 2011",Twenty20
181,Daredevils,Warriors,no result,-,Delhi,"May 21, 2011",Twenty20
182,Kings XI,Chargers,Chargers,82 runs,Dharamsala,"May 21, 2011",Twenty20
183,MI,RR,RR,10 wickets,Wankhede,"May 20, 2011",Twenty20
184,Warriors,KKR,KKR,7 wickets,DY Patil,"May 19, 2011",Twenty20
185,CSK,Kochi,CSK,11 runs,Chennai,"May 18, 2011",Twenty20
186,Kings XI,RCB,Kings XI,111 runs,Dharamsala,"May 17, 2011",Twenty20
187,Warriors,Chargers,Chargers,6 wickets,DY Patil,"May 16, 2011",Twenty20
188,Kochi,RR,Kochi,8 wickets,Indore,"May 15, 2011",Twenty20
189,Kings XI,Daredevils,Kings XI,29 runs,Dharamsala,"May 15, 2011",Twenty20
190,MI,Chargers,Chargers,10 runs,Wankhede,"May 14, 2011",Twenty20
191,RCB,KKR,RCB,4 wickets,Bengaluru,"May 14, 2011",Twenty20
192,Kochi,Kings XI,Kings XI,6 wickets,Indore,"May 13, 2011",Twenty20
193,CSK,Daredevils,CSK,18 runs,Chennai,"May 12, 2011",Twenty20
194,RR,RCB,RCB,9 wickets,Jaipur,"May 11, 2011",Twenty20
195,Kings XI,MI,Kings XI,76 runs,Mohali,"May 10, 2011",Twenty20
196,Chargers,Warriors,Warriors,6 wickets,Hyderabad,"May 10, 2011",Twenty20
197,RR,CSK,CSK,63 runs,Jaipur,"May 9, 2011",Twenty20
198,Kings XI,Warriors,Warriors,5 wickets,Mohali,"May 8, 2011",Twenty20
199,RCB,Kochi,RCB,9 wickets,Bengaluru,"May 8, 2011",Twenty20
200,MI,Daredevils,MI,32 runs,Wankhede,"May 7, 2011",Twenty20
201,KKR,CSK,KKR,10 runs,Eden Gardens,"May 7, 2011",Twenty20
202,RCB,Kings XI,RCB,85 runs,Bengaluru,"May 6, 2011",Twenty20
203,Chargers,Daredevils,Daredevils,4 wickets,Hyderabad,"May 5, 2011",Twenty20
204,Kochi,KKR,Kochi,17 runs,Kochi,"May 5, 2011",Twenty20
205,Warriors,MI,MI,21 runs,DY Patil,"May 4, 2011",Twenty20
206,CSK,RR,CSK,8 wickets,Chennai,"May 4, 2011",Twenty20
207,Chargers,KKR,KKR,20 runs,Hyderabad,"May 3, 2011",Twenty20
208,Daredevils,Kochi,Kochi,7 wickets,Delhi,"May 2, 2011",Twenty20
209,MI,Kings XI,MI,23 runs,Wankhede,"May 2, 2011",Twenty20
210,CSK,Chargers,CSK,19 runs,Chennai,"May 1, 2011",Twenty20
211,RR,Warriors,RR,6 wickets,Jaipur,"May 1, 2011",Twenty20
212,KKR,Kings XI,KKR,8 wickets,Eden Gardens,"Apr 30, 2011",Twenty20
213,Kochi,Daredevils,Daredevils,38 runs,Kochi,"Apr 30, 2011",Twenty20
214,RCB,Warriors,RCB,26 runs,Bengaluru,"Apr 29, 2011",Twenty20
215,RR,MI,RR,7 wickets,Jaipur,"Apr 29, 2011",Twenty20
216,Daredevils,KKR,KKR,17 runs,Delhi,"Apr 28, 2011",Twenty20
217,Kochi,Chargers,Chargers,55 runs,Kochi,"Apr 27, 2011",Twenty20
218,Warriors,CSK,CSK,8 wickets,DY Patil,"Apr 27, 2011",Twenty20
219,Daredevils,RCB,RCB,3 wickets,Delhi,"Apr 26, 2011",Twenty20
220,CSK,Warriors,CSK,25 runs,Chennai,"Apr 25, 2011",Twenty20
221,RR,Kochi,RR,8 wickets,Jaipur,"Apr 24, 2011",Twenty20
222,Chargers,MI,MI,37 runs,Hyderabad,"Apr 24, 2011",Twenty20
223,Daredevils,Kings XI,Daredevils,29 runs,Delhi,"Apr 23, 2011",Twenty20
224,MI,CSK,MI,8 runs,Wankhede,"Apr 22, 2011",Twenty20
225,KKR,RCB,RCB,9 wickets,Eden Gardens,"Apr 22, 2011",Twenty20
226,Kings XI,RR,Kings XI,48 runs,Mohali,"Apr 21, 2011",Twenty20
227,KKR,Kochi,Kochi,6 runs,Eden Gardens,"Apr 20, 2011",Twenty20
228,MI,Warriors,MI,7 wickets,Wankhede,"Apr 20, 2011",Twenty20
229,Daredevils,Chargers,Chargers,16 runs,Delhi,"Apr 19, 2011",Twenty20
230,Kochi,CSK,Kochi,7 wickets,Kochi,"Apr 18, 2011",Twenty20
231,KKR,RR,KKR,8 wickets,Eden Gardens,"Apr 17, 2011",Twenty20
232,Warriors,Daredevils,Daredevils,3 wickets,DY Patil,"Apr 17, 2011",Twenty20
233,Chargers,Kings XI,Kings XI,8 wickets,Hyderabad,"Apr 16, 2011",Twenty20
234,CSK,RCB,CSK,21 runs,Chennai,"Apr 16, 2011",Twenty20
235,MI,Kochi,Kochi,8 wickets,Wankhede,"Apr 15, 2011",Twenty20
236,RR,KKR,KKR,9 wickets,Jaipur,"Apr 15, 2011",Twenty20
237,Chargers,RCB,Chargers,33 runs,Hyderabad,"Apr 14, 2011",Twenty20
238,Warriors,Kochi,Warriors,4 wickets,DY Patil,"Apr 13, 2011",Twenty20
239,Kings XI,CSK,Kings XI,6 wickets,Mohali,"Apr 13, 2011",Twenty20
240,RCB,MI,MI,9 wickets,Bengaluru,"Apr 12, 2011",Twenty20
241,RR,Daredevils,RR,6 wickets,Jaipur,"Apr 12, 2011",Twenty20
242,KKR,Chargers,KKR,9 runs,Eden Gardens,"Apr 11, 2011",Twenty20
243,Warriors,Kings XI,Warriors,7 wickets,DY Patil,"Apr 10, 2011",Twenty20
244,Daredevils,MI,MI,8 wickets,Delhi,"Apr 10, 2011",Twenty20
245,Kochi,RCB,RCB,6 wickets,Kochi,"Apr 9, 2011",Twenty20
246,Chargers,RR,RR,8 wickets,Hyderabad,"Apr 9, 2011",Twenty20
247,CSK,KKR,CSK,2 runs,Chennai,"Apr 8, 2011",Twenty20
248,CSK,KKR,KKR,5 wickets,Chennai,"May 27, 2012",Twenty20
249,CSK,Daredevils,CSK,86 runs,Chennai,"May 25, 2012",Twenty20
250,CSK,MI,CSK,38 runs,Bengaluru,"May 23, 2012",Twenty20
251,Daredevils,KKR,KKR,18 runs,Pune,"May 22, 2012",Twenty20
252,RR,MI,MI,10 wickets,Jaipur,"May 20, 2012",Twenty20
253,Chargers,RCB,Chargers,9 runs,Hyderabad,"May 20, 2012",Twenty20
254,Warriors,KKR,KKR,34 runs,Pune,"May 19, 2012",Twenty20
255,Kings XI,Daredevils,Daredevils,6 wickets,Dharamsala,"May 19, 2012",Twenty20
256,Chargers,RR,Chargers,5 wickets,Hyderabad,"May 18, 2012",Twenty20
257,Daredevils,RCB,RCB,21 runs,Delhi,"May 17, 2012",Twenty20
258,Kings XI,CSK,Kings XI,6 wickets,Dharamsala,"May 17, 2012",Twenty20
259,MI,KKR,KKR,32 runs,Wankhede,"May 16, 2012",Twenty20
260,Daredevils,Kings XI,Daredevils,5 wickets,Delhi,"May 15, 2012",Twenty20
261,KKR,CSK,CSK,5 wickets,Eden Gardens,"May 14, 2012",Twenty20
262,RCB,MI,MI,5 wickets,Bengaluru,"May 14, 2012",Twenty20
263,Kings XI,Chargers,Kings XI,4 wickets,Mohali,"May 13, 2012",Twenty20
264,RR,Warriors,RR,45 runs,Jaipur,"May 13, 2012",Twenty20
265,CSK,Daredevils,CSK,9 wickets,Chennai,"May 12, 2012",Twenty20
266,KKR,MI,MI,27 runs,Eden Gardens,"May 12, 2012",Twenty20
267,Warriors,RCB,RCB,35 runs,Pune,"May 11, 2012",Twenty20
268,RR,CSK,CSK,4 wickets,Jaipur,"May 10, 2012",Twenty20
269,Chargers,Daredevils,Daredevils,9 wickets,Hyderabad,"May 10, 2012",Twenty20
270,MI,RCB,RCB,9 wickets,Wankhede,"May 9, 2012",Twenty20
271,Chargers,Kings XI,Kings XI,25 runs,Hyderabad,"May 8, 2012",Twenty20
272,Warriors,RR,RR,7 wickets,Pune,"May 8, 2012",Twenty20
273,Daredevils,KKR,KKR,6 wickets,Delhi,"May 7, 2012",Twenty20
274,RCB,Chargers,RCB,5 wickets,Bengaluru,"May 6, 2012",Twenty20
275,MI,CSK,MI,2 wickets,Wankhede,"May 6, 2012",Twenty20
276,Kings XI,RR,RR,43 runs,Mohali,"May 5, 2012",Twenty20
277,KKR,Warriors,KKR,7 runs,Eden Gardens,"May 5, 2012",Twenty20
278,CSK,Chargers,CSK,10 runs,Chennai,"May 4, 2012",Twenty20
279,Warriors,MI,MI,1 run,Pune,"May 3, 2012",Twenty20
280,RCB,Kings XI,Kings XI,4 wickets,Bengaluru,"May 2, 2012",Twenty20
281,RR,Daredevils,Daredevils,6 wickets,Jaipur,"May 1, 2012",Twenty20
282,Chargers,Warriors,Chargers,13 runs,Cuttack,"May 1, 2012",Twenty20
283,CSK,KKR,KKR,5 wickets,Chennai,"Apr 30, 2012",Twenty20
284,MI,Chargers,MI,5 wickets,Wankhede,"Apr 29, 2012",Twenty20
285,Daredevils,RR,Daredevils,1 run,Delhi,"Apr 29, 2012",Twenty20
286,KKR,RCB,KKR,47 runs,Eden Gardens,"Apr 28, 2012",Twenty20
287,CSK,Kings XI,Kings XI,7 runs,Chennai,"Apr 28, 2012",Twenty20
288,Daredevils,MI,Daredevils,37 runs,Delhi,"Apr 27, 2012",Twenty20
289,Warriors,Chargers,Chargers,18 runs,Pune,"Apr 26, 2012",Twenty20
290,RCB,CSK,no result,-,Bengaluru,"Apr 25, 2012",Twenty20
291,Kings XI,MI,MI,4 wickets,Mohali,"Apr 25, 2012",Twenty20
292,Warriors,Daredevils,Daredevils,8 wickets,Pune,"Apr 24, 2012",Twenty20
293,RR,RCB,RCB,46 runs,Jaipur,"Apr 23, 2012",Twenty20
294,Chargers,KKR,KKR,5 wickets,Cuttack,"Apr 22, 2012",Twenty20
295,MI,Kings XI,Kings XI,6 wickets,Wankhede,"Apr 22, 2012",Twenty20
296,Daredevils,Warriors,Warriors,20 runs,Delhi,"Apr 21, 2012",Twenty20
297,CSK,RR,CSK,7 wickets,Chennai,"Apr 21, 2012",Twenty20
298,Kings XI,RCB,RCB,5 wickets,Mohali,"Apr 20, 2012",Twenty20
299,CSK,Warriors,CSK,13 runs,Chennai,"Apr 19, 2012",Twenty20
300,Daredevils,Chargers,Daredevils,5 wickets,Delhi,"Apr 19, 2012",Twenty20
301,Kings XI,KKR,KKR,8 wickets,Mohali,"Apr 18, 2012",Twenty20
302,RCB,Warriors,RCB,6 wickets,Bengaluru,"Apr 17, 2012",Twenty20
303,RR,Chargers,RR,5 wickets,Jaipur,"Apr 17, 2012",Twenty20
304,MI,Daredevils,Daredevils,7 wickets,Wankhede,"Apr 16, 2012",Twenty20
305,RCB,RR,RR,59 runs,Bengaluru,"Apr 15, 2012",Twenty20
306,KKR,Kings XI,Kings XI,2 runs,Eden Gardens,"Apr 15, 2012",Twenty20
307,Warriors,CSK,Warriors,7 wickets,Pune,"Apr 14, 2012",Twenty20
308,KKR,RR,KKR,5 wickets,Eden Gardens,"Apr 13, 2012",Twenty20
309,Kings XI,Warriors,Kings XI,7 wickets,Mohali,"Apr 12, 2012",Twenty20
310,CSK,RCB,CSK,5 wickets,Chennai,"Apr 12, 2012",Twenty20
311,MI,RR,MI,27 runs,Wankhede,"Apr 11, 2012",Twenty20
312,Daredevils,CSK,Daredevils,8 wickets,Delhi,"Apr 10, 2012",Twenty20
313,RCB,KKR,KKR,42 runs,Bengaluru,"Apr 10, 2012",Twenty20
314,Chargers,MI,MI,5 wickets,Visakhapatnam,"Apr 9, 2012",Twenty20
315,Warriors,Kings XI,Warriors,22 runs,Pune,"Apr 8, 2012",Twenty20
316,RR,KKR,RR,22 runs,Jaipur,"Apr 8, 2012",Twenty20
317,Chargers,CSK,CSK,74 runs,Visakhapatnam,"Apr 7, 2012",Twenty20
318,RCB,Daredevils,RCB,20 runs,Bengaluru,"Apr 7, 2012",Twenty20
319,RR,Kings XI,RR,31 runs,Jaipur,"Apr 6, 2012",Twenty20
320,MI,Warriors,Warriors,28 runs,Wankhede,"Apr 6, 2012",Twenty20
321,KKR,Daredevils,Daredevils,8 wickets,Eden Gardens,"Apr 5, 2012",Twenty20
322,CSK,MI,MI,8 wickets,Chennai,"Apr 4, 2012",Twenty20
323,CSK,MI,MI,23 runs,Eden Gardens,"May 26, 2013",Twenty20
324,MI,RR,MI,4 wickets,Eden Gardens,"May 24, 2013",Twenty20
325,RR,SRH,RR,4 wickets,Delhi,"May 22, 2013",Twenty20
326,CSK,MI,CSK,48 runs,Delhi,"May 21, 2013",Twenty20
